l4at56um-in-pool1pts-25deg-250rpm20/11/202215:03:19	
Time (seconds)	Raw Heat Rate (uJ / s)
1018	-95,79377985
1019	-95,79712362
1020	-95,80047778
1021	-95,8036935
1022	-95,80677604
1023	-95,80984263
1024	-95,81307393
1025	-95,81651269
1026	-95,82013732
1027	-95,82388633
1028	-95,82765528
1029	-95,83136035
1030	-95,83493266
1031	-95,83827095
1032	-95,8413617
1033	-95,84418815
1034	-95,84677706
1035	-95,84913484
1036	-95,85147908
1037	-95,85390885
1038	-95,8563208
1039	-95,85868257
1040	-95,86105653
1041	-95,8634441
1042	-95,86585961
1043	-95,86837834
1044	-95,87089883
1045	-95,8734833
1046	-95,87619668
1047	-95,87896994
1048	-95,88176902
1049	-95,88468275
1050	-95,88779414
1051	-95,89111492
1052	-95,89462003
1053	-95,89832622
1054	-95,90224475
1055	-95,90630734
1056	-95,91045273
1057	-95,91461207
1058	-95,91878805
1059	-95,9230709
1060	-95,92746754
1061	-95,93204463
1062	-95,93668687
1063	-95,94138965
1064	-95,94616508
1065	-95,95103792
1066	-95,95594436
1067	-95,96089305
1068	-95,96607986
1069	-95,97149672
1070	-95,97705538
1071	-95,98283296
1072	-95,98882091
1073	-95,99488916
1074	-96,00104003
1075	-96,00712952
1076	-96,01304311
1077	-96,01900789
1078	-96,02515743
1079	-96,03155231
1080	-96,03815134
1081	-96,04499981
1082	-96,05202579
1083	-96,05890651
1084	-96,06547219
1085	-96,07189428
1086	-96,07816713
1087	-96,08448473
1088	-96,09102633
1089	-96,09768923
1090	-96,10458861
1091	-96,11169873
1092	-96,11884482
1093	-96,12596833
1094	-96,13296422
1095	-96,13974753
1096	-96,14629407
1097	-96,15255991
1098	-96,15854355
1099	-96,16428946
1100	-96,16978797
1101	-96,17507025
1102	-96,18002777
1103	-96,1845928
1104	-96,1889038
1105	-96,19299227
1106	-96,19692201
1107	-96,20081323
1108	-96,20466522
1109	-96,20836368
1110	-96,21192983
1111	-96,21528831
1112	-96,21852542
1113	-96,22182902
1114	-96,22534646
1115	-96,22909692
1116	-96,23299538
1117	-96,23709764
1118	-96,24129472
1119	-96,24544595
1120	-96,24948644
1121	-96,25340498
1122	-96,25726176
1123	-96,26101902
1124	-96,26473491
1125	-96,26849465
1126	-96,27241948
1127	-96,27652435
1128	-96,28082839
1129	-96,28523909
1130	-96,28955994
1131	-96,29383887
1132	-96,29803729
1133	-96,30219104
1134	-96,30638019
1135	-96,3105938
1136	-96,31478728
1137	-96,31888237
1138	-96,32298433
1139	-96,32720042
1140	-96,33149276
1141	-96,33569144
1142	-96,3396664
1143	-96,34332341
1144	-96,34672193
1145	-96,34997689
1146	-96,35309477
1147	-96,3560837
1148	-96,35903428
1149	-96,36198143
1150	-96,36505618
1151	-96,36840632
1152	-96,3719464
1153	-96,37561851
1154	-96,3793743
1155	-96,38311617
1156	-96,38680958
1157	-96,39048484
1158	-96,394184
1159	-96,39786795
1160	-96,40153818
1161	-96,40527422
1162	-96,40907981
1163	-96,41294495
1164	-96,41686094
1165	-96,42068502
1166	-96,42431362
1167	-96,42781461
1168	-96,43119998
1169	-96,43444683
1170	-96,43768582
1171	-96,44101385
1172	-96,44442334
1173	-96,44779762
1174	-96,45114608
1175	-96,45447454
1176	-96,45768519
1177	-96,46080411
1178	-96,46389449
1179	-96,46701561
1180	-96,4702929
1181	-96,47376787
1182	-96,47746844
1183	-96,48130867
1184	-96,48527279
1185	-96,48925857
1186	-96,4932016
1187	-96,49713225
1188	-96,50113755
1189	-96,50530436
1190	-96,50963089
1191	-96,51407436
1192	-96,51849329
1193	-96,52276305
1194	-96,52681563
1195	-96,53067125
1196	-96,53428484
1197	-96,53762698
1198	-96,54060746
1199	-96,54315259
1200	-96,54536442
1201	-96,5473841
1202	-96,54920429
1203	-96,55086728
1204	-96,55232834
1205	-96,55366813
1206	-96,55499906
1207	-96,55642921
1208	-96,55801593
1209	-96,55974967
1210	-96,5614871
1211	-96,56311304
1212	-96,56456471
1213	-96,56593596
1214	-96,56736584
1215	-96,56882971
1216	-96,57036218
1217	-96,57203163
1218	-96,57384325
1219	-96,57589355
1220	-96,57810654
1221	-96,58039041
1222	-96,58262542
1223	-96,58468571
1224	-96,58663954
1225	-96,588601
1226	-96,59069183
1227	-96,59299131
1228	-96,59551539
1229	-96,59828674
1230	-96,60123607
1231	-96,60423344
1232	-96,60720324
1233	-96,61006292
1234	-96,61264938
1235	-96,61492377
1236	-96,61690886
1237	-96,6187716
1238	-96,62067707
1239	-96,62257542
1240	-96,62442583
1241	-96,6262007
1242	-96,62790682
1243	-96,62954711
1244	-96,63108895
1245	-96,63258738
1246	-96,63407366
1247	-96,63556762
1248	-96,63715031
1249	-96,63883434
1250	-96,640654
1251	-96,64267573
1252	-96,64486542
1253	-96,64704923
1254	-96,64917797
1255	-96,65130316
1256	-96,65346521
1257	-96,65573664
1258	-96,65815875
1259	-96,66067359
1260	-96,66324993
1261	-96,665864
1262	-96,66851904
1263	-96,67120594
1264	-96,6739501
1265	-96,67684006
1266	-96,6797387
1267	-96,68255941
1268	-96,68537663
1269	-96,68827014
1270	-96,69118592
1271	-96,694133
1272	-96,69698074
1273	-96,69976137
1274	-96,7025435
1275	-96,7053987
1276	-96,70836177
1277	-96,71140676
1278	-96,71452337
1279	-96,71759942
1280	-96,72042313
1281	-96,72308988
1282	-96,72561265
1283	-96,72806078
1284	-96,73044658
1285	-96,73275898
1286	-96,73504151
1287	-96,73733246
1288	-96,73959829
1289	-96,74174744
1290	-96,74374019
1291	-96,74556101
1292	-96,74726528
1293	-96,74882716
1294	-96,75034031
1295	-96,75201684
1296	-96,7538598
1297	-96,75582855
1298	-96,75780171
1299	-96,75973986
1300	-96,76171071
1301	-96,76366694
1302	-96,76570401
1303	-96,76780283
1304	-96,76993343
1305	-96,7721146
1306	-96,77439185
1307	-96,77675841
1308	-96,77927048
1309	-96,78196269
1310	-96,78472245
1311	-96,78748992
1312	-96,79018742
1313	-96,79291213
1314	-96,7956851
1315	-96,7985081
1316	-96,80137578
1317	-96,80415696
1318	-96,80692995
1319	-96,80978801
1320	-96,81268621
1321	-96,81558156
1322	-96,81845803
1323	-96,82120057
1324	-96,82378029
1325	-96,82619187
1326	-96,82842793
1327	-96,83072658
1328	-96,83312569
1329	-96,83552707
1330	-96,83788172
1331	-96,84024402
1332	-96,84259544
1333	-96,844887
1334	-96,84717859
1335	-96,84953184
1336	-96,85189514
1337	-96,85430282
1338	-96,85681585
1339	-96,85938424
1340	-96,86205507
1341	-96,86482559
1342	-96,86758319
1343	-96,87027279
1344	-96,87297519
1345	-96,87565208
1346	-96,8782896
1347	-96,88105726
1348	-96,88400887
1349	-96,88710371
1350	-96,89028683
1351	-96,89357006
1352	-96,89684587
1353	-96,90000098
1354	-96,90307632
1355	-96,90612312
1356	-96,90923095
1357	-96,91242512
1358	-96,91568274
1359	-96,91905467
1360	-96,92265959
1361	-96,92649003
1362	-96,93033404
1363	-96,933999
1364	-96,93739078
1365	-96,94046304
1366	-96,94327002
1367	-96,94590558
1368	-96,94852798
1369	-96,95121673
1370	-96,95393714
1371	-96,95658459
1372	-96,95917876
1373	-96,96182388
1374	-96,96445339
1375	-96,96698027
1376	-96,96923491
1377	-96,9712947
1378	-96,97325444
1379	-96,97514861
1380	-96,97701963
1381	-96,97886682
1382	-96,980708
1383	-96,98253249
1384	-96,98430708
1385	-96,98616047
1386	-96,98821552
1387	-96,99033549
1388	-96,99240276
1389	-96,99439989
1390	-96,99625256
1391	-96,99808125
1392	-96,99987062
1393	-97,00161189
1394	-97,0033044
1395	-97,00501657
1396	-97,00675753
1397	-97,00859781
1398	-97,01055117
1399	-97,01256808
1400	-97,01447951
1401	-97,01620821
1402	-97,01784346
1403	-97,01941505
1404	-97,02098715
1405	-97,02265836
1406	-97,02440209
1407	-97,02624618
1408	-97,02819887
1409	-97,0302067
1410	-97,03212278
1411	-97,03386675
1412	-97,0353909
1413	-97,03668132
1414	-97,03776605
1415	-97,03868769
1416	-97,03950799
1417	-97,04026491
1418	-97,04091221
1419	-97,04137262
1420	-97,04164062
1421	-97,0418148
1422	-97,04194745
1423	-97,04201327
1424	-97,04202275
1425	-97,04204782
1426	-97,0421875
1427	-97,04245982
1428	-97,042896
1429	-97,04349736
1430	-97,04419008
1431	-97,04491307
1432	-97,04561659
1433	-97,04631401
1434	-97,0470759
1435	-97,04789835
1436	-97,04868302
1437	-97,04939581
1438	-97,05009111
1439	-97,05082583
1440	-97,05165258
1441	-97,05255304
1442	-97,0535022
1443	-97,05448287
1444	-97,05551465
1445	-97,05664902
1446	-97,05780877
1447	-97,05890318
1448	-97,05995694
1449	-97,06094548
1450	-97,06183057
1451	-97,06264308
1452	-97,06340371
1453	-97,06406879
1454	-97,06464762
1455	-97,06514232
1456	-97,06552165
1457	-97,06572744
1458	-97,0656929
1459	-97,06534086
1460	-97,06468418
1461	-97,0638643
1462	-97,0629721
1463	-97,06196082
1464	-97,06085314
1465	-97,0597112
1466	-97,05854998
1467	-97,05734489
1468	-97,05619555
1469	-97,05520592
1470	-97,05435904
1471	-97,05358451
1472	-97,05277846
