stp2loop16-63um-in-loop1pts-10um-25deg-250rpm05/12/202208:50:59	
Time (seconds)	Raw Heat Rate (uJ / s)
1162	-96,31522924
1163	-96,31341614
1164	-96,31167978
1165	-96,31025472
1166	-96,30937646
1167	-96,30903087
1168	-96,3090804
1169	-96,30948263
1170	-96,31023932
1171	-96,31135518
1172	-96,3127642
1173	-96,31451133
1174	-96,31657919
1175	-96,31898918
1176	-96,32177017
1177	-96,32478451
1178	-96,32790723
1179	-96,33106889
1180	-96,33412989
1181	-96,3369502
1182	-96,33947187
1183	-96,34161199
1184	-96,34332828
1185	-96,3446085
1186	-96,34541254
1187	-96,34570862
1188	-96,34541595
1189	-96,34447664
1190	-96,34292057
1191	-96,3408352
1192	-96,33833349
1193	-96,3355927
1194	-96,33280402
1195	-96,33013485
1196	-96,32772212
1197	-96,3256424
1198	-96,32400581
1199	-96,3228649
1200	-96,32211128
1201	-96,32165544
1202	-96,32151238
1203	-96,32169992
1204	-96,32233388
1205	-96,32344649
1206	-96,32498942
1207	-96,32697157
1208	-96,32932808
1209	-96,33195192
1210	-96,33469763
1211	-96,33742711
1212	-96,34000765
1213	-96,34221437
1214	-96,34387871
1215	-96,34504765
1216	-96,34586058
1217	-96,34642787
1218	-96,34684704
1219	-96,3472473
1220	-96,34770112
1221	-96,34825902
1222	-96,34888966
1223	-96,34948174
1224	-96,3499899
1225	-96,35045122
1226	-96,35089728
1227	-96,35140553
1228	-96,35211241
1229	-96,35317311
1230	-96,35463678
1231	-96,35644394
1232	-96,3585948
1233	-96,36103814
1234	-96,36361495
1235	-96,36625464
1236	-96,36887865
1237	-96,37143199
1238	-96,37390918
1239	-96,37628364
1240	-96,3785743
1241	-96,38082802
1242	-96,38306926
1243	-96,38522913
1244	-96,3871371
1245	-96,38867278
1246	-96,38983281
1247	-96,3906074
1248	-96,39112637
1249	-96,39156578
1250	-96,39193466
1251	-96,39224802
1252	-96,39263631
1253	-96,39321279
1254	-96,39395331
1255	-96,39482564
1256	-96,39582595
1257	-96,39688025
1258	-96,39798465
1259	-96,39918487
1260	-96,40046829
1261	-96,40181431
1262	-96,40320785
1263	-96,40459893
1264	-96,40591737
1265	-96,40710766
1266	-96,40815311
1267	-96,40901538
1268	-96,4097124
1269	-96,4102902
1270	-96,41071285
1271	-96,41087422
1272	-96,41069635
1273	-96,41008786
1274	-96,40904387
1275	-96,40772231
1276	-96,40621449
1277	-96,40458612
1278	-96,40288784
1279	-96,4011925
1280	-96,39962543
1281	-96,39828229
1282	-96,39712845
1283	-96,39606732
1284	-96,39505777
1285	-96,39408217
1286	-96,39316528
1287	-96,39246814
1288	-96,3922306
1289	-96,39259016
1290	-96,39351536
1291	-96,3949183
1292	-96,39664178
1293	-96,39854495
1294	-96,40051028
1295	-96,40246694
1296	-96,40439217
1297	-96,4063206
1298	-96,4082815
1299	-96,41032015
1300	-96,41256154
1301	-96,41510588
1302	-96,41794788
1303	-96,42101709
1304	-96,42422995
1305	-96,42747463
1306	-96,43066946
1307	-96,43379863
1308	-96,43683259
1309	-96,43978775
1310	-96,44269147
1311	-96,44547075
1312	-96,44805011
1313	-96,45046031
1314	-96,45270862
1315	-96,45464874
1316	-96,4560557
1317	-96,45678259
1318	-96,45683058
1319	-96,45622534
1320	-96,4550101
1321	-96,45334359
1322	-96,45141555
1323	-96,44933526
1324	-96,44710056
1325	-96,44469023
1326	-96,44211207
1327	-96,43941386
1328	-96,43661689
1329	-96,43375908
1330	-96,4309898
1331	-96,42850946
1332	-96,42639743
1333	-96,42462118
1334	-96,42318218
1335	-96,42206055
1336	-96,42120901
1337	-96,42059602
1338	-96,4201918
1339	-96,41998609
1340	-96,41999841
1341	-96,42027642
1342	-96,4207502
1343	-96,42123041
1344	-96,42162004
1345	-96,42187975
1346	-96,42197531
1347	-96,42193622
1348	-96,42182548
1349	-96,42164821
1350	-96,42144807
1351	-96,42123556
1352	-96,42093036
1353	-96,42050421
1354	-96,41999871
1355	-96,41944862
1356	-96,41885099
1357	-96,41826528
1358	-96,41782275
1359	-96,41757281
1360	-96,41745054
1361	-96,41743023
1362	-96,41743173
1363	-96,41730283
1364	-96,416972
1365	-96,41632058
1366	-96,41525845
1367	-96,41380395
1368	-96,41188979
1369	-96,40939791
1370	-96,4063167
1371	-96,40267675
1372	-96,3986827
1373	-96,39454153
1374	-96,39032625
1375	-96,38612168
1376	-96,38201359
1377	-96,37813515
1378	-96,37457274
1379	-96,37128107
1380	-96,36828066
1381	-96,36566228
1382	-96,36351154
1383	-96,36203026
1384	-96,36143208
1385	-96,36168148
1386	-96,36262705
1387	-96,36403323
1388	-96,36572755
1389	-96,3676795
1390	-96,36989156
1391	-96,37228256
1392	-96,37476154
1393	-96,37730182
1394	-96,37996673
1395	-96,38287974
1396	-96,38601459
1397	-96,38930294
1398	-96,39268043
