scan 1120/11/202208:13:50		
temp(°=C)	power	time(seconds)
70,01826477	0,809637427	3902,376465
70,12014771	0,808244646	3908,488037
70,22207642	0,809088171	3914,60498
70,32385254	0,809111655	3920,712158
70,42584229	0,809423089	3926,830811
70,52779388	0,80553323	3932,947754
70,62975311	0,803372622	3939,067627
70,73166656	0,803327858	3945,180664
70,83351898	0,802625358	3951,291748
70,93541718	0,802271903	3957,404297
71,03733063	0,801004708	3963,522217
71,139328	0,798778892	3969,640869
71,24127197	0,792480111	3975,758789
71,34321594	0,788454235	3981,873047
71,44526672	0,789462924	3987,996338
71,54724121	0,790287137	3994,114502
71,6489563	0,789724648	4000,218018
71,75094604	0,787158132	4006,337891
71,85287476	0,787145436	4012,45459
71,95478821	0,78411907	4018,566162
72,05670166	0,778428972	4024,681885
72,15860748	0,773481607	4030,798096
72,26054382	0,773639917	4036,912598
72,36248779	0,773112893	4043,030029
72,46450806	0,763693273	4049,152588
72,56652069	0,746739745	4055,27417
72,66847229	0,729310513	4061,390625
72,77042389	0,709434807	4067,50708
72,87230682	0,691442668	4073,620361
72,97416687	0,678846896	4079,731201
73,07610321	0,673683286	4085,846191
73,17816162	0,663030028	4091,969971
73,28010559	0,643720508	4098,089355
73,38208771	0,626319408	4104,208984
73,48427582	0,606319606	4110,338379
73,58629608	0,587229133	4116,458496
73,68810272	0,566173792	4122,567383
73,79006195	0,555136025	4128,685547
73,89192963	0,551026165	4134,794922
73,99358368	0,542940974	4140,896484
74,09550476	0,531237125	4147,011719
74,19747162	0,514838219	4153,129395
74,29943085	0,498310953	4159,246094
74,40132904	0,473843724	4165,358887
74,5033493	0,450016379	4171,480957
74,60518646	0,413817555	4177,591309
74,70709991	0,374299735	4183,707031
74,8090744	0,34773317	4189,826172
74,911026	0,306908995	4195,943848
75,01296997	0,256703913	4202,05957
75,11489868	0,208650559	4208,174805
75,2168045	0,151573256	4214,287598
75,3187561	0,1189344	4220,408203
75,42068481	0,118029952	4226,522949
75,52265167	0,117291674	4232,640625
75,62458038	0,089066826	4238,755859
75,72655487	0,063733697	4244,875
75,8285141	0,033861283	4250,991699
75,9305191	0,022171687	4257,11084
76,03239441	0,012099049	4263,227051
76,13446808	0,012467672	4269,349609
76,23638153	0,016375858	4275,464355
76,33826447	0,007958337	4281,577148
76,44026947	0,009858392	4287,700195
76,54214478	0,022467878	4293,812012
76,644104	0,032935105	4299,927734
76,74609375	0,043931957	4306,04834
76,84803009	0,053052932	4312,161621
76,95005035	0,059244107	4318,285156
77,05192566	0,063266173	4324,398438
77,15386963	0,065899849	4330,515137
77,25572968	0,068947934	4336,626953
77,35764313	0,075852789	4342,740723
77,45973969	0,086414069	4348,868164
77,56169891	0,097997546	4354,979492
77,66355133	0,103200182	4361,095703
77,76553345	0,107836768	4367,213379
77,86743927	0,110441536	4373,32666
77,96945953	0,10686893	4379,450684
78,07138824	0,103261702	4385,562988
78,1734314	0,099983238	4391,6875
78,27518463	0,098685212	4397,793457
78,37721252	0,096373029	4403,912598
78,47904968	0,092459425	4410,024414
78,58092499	0,085385725	4416,137207
78,68280029	0,08315707	4422,251465
78,78476715	0,082721889	4428,368164
78,88660431	0,085788399	4434,479004
78,98847198	0,09127301	4440,591797
79,09034729	0,093108498	4446,702148
79,19213867	0,09124966	4452,810547
79,29416656	0,089271978	4458,931152
79,39595795	0,087230675	4465,039063
