scan 720/11/202208:13:50						
temp(C)	power	time(seconds)				
48,1073761	0,295339555	2587,698242				
48,20921707	0,297561973	2593,808838				
48,31116104	0,305247754	2599,922363				
48,41314316	0,313323528	2606,043213				
48,51507187	0,331058115	2612,157715				
48,61686707	0,336290449	2618,266113				
48,71882629	0,350126296	2624,383789				
48,82067108	0,366494656	2630,494385				
48,92264557	0,381733924	2636,614258				
49,02452087	0,390212923	2642,724121				
49,12641525	0,392229408	2648,837891				
49,22831345	0,396755576	2654,953125				
49,33031464	0,401759803	2661,071533				
49,43212509	0,406860143	2667,18042				
49,53410721	0,415304393	2673,302002				
49,63598251	0,421927959	2679,415039				
49,73789978	0,422204226	2685,53125				
49,83989716	0,432639241	2691,648926				
49,94171143	0,447921634	2697,756104				
50,04354477	0,452931046	2703,86792				
50,14530563	0,453301221	2709,971436				
50,24716568	0,453826845	2716,083252				
50,34896851	0,463497609	2722,190186				
50,45082474	0,477632284	2728,304443				
50,55274963	0,487382084	2734,420654				
50,65472031	0,499765098	2740,537598				
50,75663757	0,511747003	2746,650635				
50,85863113	0,515404701	2752,770752				
50,96045303	0,516331017	2758,880615				
51,06233597	0,517306149	2764,994385				
51,16426468	0,526152492	2771,111084				
51,2663002	0,528119087	2777,232178				
51,36837006	0,534629762	2783,354004				
51,47024155	0,544462979	2789,468994				
51,57214355	0,555268049	2795,581543				
51,67404175	0,562915146	2801,697998				
51,77595139	0,568762362	2807,811279				
51,8779335	0,565833986	2813,932373				
51,9798851	0,575028121	2820,047852				
52,08184052	0,579170823	2826,16333				
52,18381882	0,580776513	2832,282715				
52,28575516	0,588949859	2838,399902				
52,38783264	0,599856734	2844,522705				
52,48980331	0,608048379	2850,643555				
52,59170532	0,615855992	2856,755127				
52,69358444	0,622654438	2862,867432				
52,79546356	0,627131999	2868,980469				
52,8973732	0,635856688	2875,095947				
52,99934769	0,633287966	2881,216064				
53,10128403	0,635966182	2887,33252				
53,20308685	0,64030385	2893,44043				
53,30500412	0,643917084	2899,55542				
53,40689087	0,652405977	2905,667725				
53,50885773	0,659139574	2911,786621				
53,61074448	0,671042323	2917,898926				
53,71269608	0,671409905	2924,014648				
53,81464386	0,67424041	2930,131836				
53,91653824	0,679357886	2936,24585				
54,01837158	0,684143484	2942,358887				
54,12023544	0,688205659	2948,468506				
54,22208786	0,698872089	2954,580078				
54,32396317	0,707652271	2960,69043				
54,42592239	0,711075246	2966,810791				
54,52793121	0,709994316	2972,929932				
54,62990952	0,707216084	2979,048584				
54,73186111	0,711419046	2985,164307				
54,83389282	0,717902839	2991,288086				
54,93595505	0,723198295	2997,413574				
55,03797531	0,729908347	3003,532959				
55,13986588	0,732385397	3009,644287				
55,24177933	0,739377022	3015,761719				
55,34378815	0,742143333	3021,882324				
