1ptspool-77um-stp2l8-25deg-250rpm24/11/202208:29:18	
Time (seconds)	Raw Heat Rate (uJ / s)
1064	-98,13243639
1065	-98,1319208
1066	-98,13133349
1067	-98,1306986
1068	-98,13003197
1069	-98,12931029
1070	-98,12856371
1071	-98,12777362
1072	-98,12692387
1073	-98,1260366
1074	-98,12515411
1075	-98,12437888
1076	-98,12385309
1077	-98,12352697
1078	-98,12332705
1079	-98,12319221
1080	-98,12305077
1081	-98,12281337
1082	-98,1223623
1083	-98,12167566
1084	-98,12086858
1085	-98,11994275
1086	-98,11889429
1087	-98,11771207
1088	-98,11635617
1089	-98,11479328
1090	-98,1129446
1091	-98,11065625
1092	-98,10796421
1093	-98,10501818
1094	-98,10190443
1095	-98,0987235
1096	-98,09557957
1097	-98,0925762
1098	-98,08978054
1099	-98,0871235
1100	-98,08456521
1101	-98,08203661
1102	-98,07950588
1103	-98,07705507
1104	-98,07475322
1105	-98,0725573
1106	-98,07048304
1107	-98,06852645
1108	-98,06660148
1109	-98,0647186
1110	-98,0628654
1111	-98,06094575
1112	-98,05883197
1113	-98,05648437
1114	-98,05402622
1115	-98,05157982
1116	-98,04921811
1117	-98,04694677
1118	-98,04468507
1119	-98,04238174
1120	-98,0400768
1121	-98,03777714
1122	-98,03542988
1123	-98,03305926
1124	-98,03067105
1125	-98,02822534
1126	-98,025747
1127	-98,02333385
1128	-98,02107688
1129	-98,01893778
1130	-98,01678646
1131	-98,01449446
1132	-98,0120744
1133	-98,0095688
1134	-98,0069885
1135	-98,00439462
1136	-98,00180413
1137	-97,99923735
1138	-97,99678576
1139	-97,994524
1140	-97,99249546
1141	-97,99072519
1142	-97,9892279
1143	-97,98790694
1144	-97,98664312
1145	-97,9854667
1146	-97,98446286
1147	-97,98360804
1148	-97,98287494
1149	-97,98228227
1150	-97,98181071
1151	-97,98149834
1152	-97,98137259
1153	-97,98130255
1154	-97,9811099
1155	-97,98075618
1156	-97,98028945
1157	-97,97971421
1158	-97,97901636
1159	-97,9782756
1160	-97,97751394
1161	-97,97674246
1162	-97,97596694
1163	-97,97518454
1164	-97,97437881
1165	-97,9735735
1166	-97,97273008
1167	-97,97180097
